date,location,cases,deaths,tests,percent_positivity,CFR
2020-02,Benin,0.0,0.0,0.0,NaN,NaN
2020-02,Bermuda,0.0,0.0,0.0,NaN,NaN
2020-02,Bhutan,0.0,0.0,0.0,NaN,NaN
2020-02,Bolivia,0.0,0.0,0.0,NaN,NaN
2020-02,Bonaire Sint Eustatius and Saba,0.0,0.0,0.0,NaN,NaN
2020-02,Bosnia and Herzegovina,0.0,0.0,0.0,NaN,NaN
2020-02,Botswana,0.0,0.0,0.0,NaN,NaN
2020-02,Brazil,0.0,0.0,0.0,NaN,NaN
2020-02,British Virgin Islands,0.0,0.0,0.0,NaN,NaN
2020-02,Brunei,0.0,0.0,0.0,NaN,NaN
2020-02,Bulgaria,0.0,0.0,0.0,NaN,NaN
2020-02,Burkina Faso,0.0,0.0,0.0,NaN,NaN
2020-02,Burundi,0.0,0.0,0.0,NaN,NaN
2020-02,Cambodia,1.0,0.0,0.0,NaN,0.0
2020-02,Cameroon,0.0,0.0,0.0,NaN,NaN
2020-02,Canada,8.0,0.0,157.0,0.050955414012738856,0.0
2020-02,Cape Verde,0.0,0.0,0.0,NaN,NaN
2020-02,Cayman Islands,0.0,0.0,0.0,NaN,NaN
2020-02,Central African Republic,0.0,0.0,0.0,NaN,NaN
2020-02,Chad,0.0,0.0,0.0,NaN,NaN
2020-02,Chile,0.0,0.0,0.0,NaN,NaN
2020-02,China,75057.0,2390.0,0.0,NaN,0.031842466392208585
2020-02,Colombia,0.0,0.0,0.0,NaN,NaN
2020-02,Comoros,0.0,0.0,0.0,NaN,NaN
2020-02,Congo,0.0,0.0,0.0,NaN,NaN
2020-02,Cook Islands,0.0,0.0,0.0,NaN,NaN
2020-02,Costa Rica,0.0,0.0,0.0,NaN,NaN
2020-02,Cote d'Ivoire,0.0,0.0,0.0,NaN,NaN
2020-02,Croatia,0.0,0.0,0.0,NaN,NaN
2020-02,Cuba,0.0,0.0,0.0,NaN,NaN
2020-02,Curacao,0.0,0.0,0.0,NaN,NaN
2020-02,Cyprus,0.0,0.0,0.0,NaN,NaN
2020-02,Czechia,0.0,0.0,0.0,NaN,NaN
2020-02,Democratic Republic of Congo,0.0,0.0,0.0,NaN,NaN
2020-02,Denmark,0.0,0.0,294.0,0.0,NaN
2020-02,Djibouti,0.0,0.0,0.0,NaN,NaN
2020-02,Dominica,0.0,0.0,0.0,NaN,NaN
2020-02,Dominican Republic,0.0,0.0,0.0,NaN,NaN
2020-02,Ecuador,0.0,0.0,0.0,NaN,NaN
2020-02,Egypt,1.0,0.0,0.0,NaN,0.0
2020-02,El Salvador,0.0,0.0,0.0,NaN,NaN
2020-02,Equatorial Guinea,0.0,0.0,0.0,NaN,NaN
2020-02,Eritrea,0.0,0.0,0.0,NaN,NaN
2020-02,Estonia,0.0,0.0,40.0,0.0,NaN
