location,date,sero_study_participants,avg_seroprevalence
Kuwait,2020-04,10256,0.054000000000000006
Kuwait,2020-06,1050,0.3220323809523809
Kyrgyzstan,2021-06,30578,0.5365737785335862
Lao People's Democratic Republic,2020-09,11533,0.03811202635914333
Latvia,2020-06,177,0.0
Lebanon,2020-12,65194,0.20110669693530084
Liechtenstein,2020-08,1159,0.064
Lithuania,2020-06,300,0.0018000000000000002
Lithuania,2020-08,6178,0.0119
Lithuania,2020-10,26,0.0213
Luxembourg,2020-04,1820,0.013700000000000002
Madagascar,2020-03,992,0.0015
Madagascar,2020-04,314,0.0
Madagascar,2020-05,1196,0.0
Madagascar,2020-06,1312,0.055982469512195134
Madagascar,2020-07,1994,0.20876379137412238
Madagascar,2020-08,2106,0.29112108262108266
Madagascar,2020-09,2210,0.2985488687782805
Madagascar,2020-10,2526,0.29751504354711006
Madagascar,2020-11,2873,0.24162861120779675
Madagascar,2020-12,177,0.166
Madagascar,2021-01,778,0.26749999999999996
Madagascar,2021-02,638,0.29250000000000004
Madagascar,2021-03,994,0.29200000000000004
Madagascar,2021-04,1660,0.38400722891566264
Madagascar,2021-05,1000,0.497
Malawi,2020-06,500,0.08199999999999999
Malawi,2020-09,158,0.237
Malawi,2020-11,5231,0.06318543299560313
Malawi,2022-01,18068,0.8021078702678769
Malaysia,2020-03,327,0.0007000000000000001
Malaysia,2020-04,1576,0.0003730964467005076
Malaysia,2020-05,261,0.0001
Malaysia,2021-02,1306,0.020956355283307814
Malaysia,2021-08,1078,0.7991447124304267
Mali,2020-08,6222,0.030514625522340088
Mali,2020-09,3095,0.12742132471728596
Mali,2020-12,3289,0.24218425053207662
Mali,2021-01,4423,0.38509405380963146
Mexico,2020-07,5442,0.14084428518926864
Mexico,2020-09,43665,0.22833040192373755
Mexico,2020-10,2090760,0.3316660190552718
Mexico,2020-12,5359,0.29300000000000004
Mongolia,2020-11,24999,0.009546929877195088
Mozambique,2020-06,6278,0.04991079961771265
Mozambique,2020-07,5232,0.016288608562691133
Mozambique,2020-08,38787,0.019556036816459118
Nepal,2020-10,9120,0.11086820175438596
Nepal,2020-12,800,0.2908
Netherlands,2020-04,19525,0.017650345710627402
Netherlands,2020-05,637,0.07102511773940345
Netherlands,2020-06,164,0.028000000000000004
Netherlands,2020-07,487,0.019
Netherlands,2020-08,209,0.011
Netherlands,2020-11,29381,0.1548030359756305
Netherlands,2021-05,191,0.017712041884816752
Netherlands,2021-07,209,0.29
New Zealand,2020-07,1127,0.004
New Zealand,2020-12,9806,0.0009
Nicaragua,2020-09,1243,0.233
Nicaragua,2020-10,3990,0.5076864661654136
Nicaragua,2020-12,1824,0.475
Nicaragua,2021-03,1243,0.312
Nigeria,2020-08,113,0.34
Nigeria,2020-12,9426,0.15356526628474432
Norway,2020-03,179,0.38
Norway,2020-05,900,0.001
Norway,2020-08,1812,0.002
Norway,2020-12,138473,0.0063054169404865934
Norway,2021-01,112700,0.007127746228926353
Norway,2021-08,11553,0.4425525837444819
Oman,2020-07,12630,0.04501892319873317
Oman,2020-08,13209,0.08418086153380272
Oman,2020-09,14340,0.1430361227336123
Oman,2020-11,12192,0.19255273950131235
Pakistan,2020-04,1000,0.0
Pakistan,2020-06,3972,0.2701591137965761
Pakistan,2020-07,47174,0.4049772544198075
Pakistan,2020-08,1001,0.11946353646353647
Pakistan,2021-04,6119,0.2755613662363131
Pakistan,2021-10,5473,0.6395311529325781
Paraguay,2020-12,1313,0.195
Paraguay,2021-01,898,0.168
Paraguay,2021-02,2615,0.23048565965583176
Peru,2020-04,2419,0.061
Peru,2020-07,26732,0.2316029103695945
Peru,2020-08,621,0.62
Peru,2020-09,5734,0.2969291942797349
Peru,2020-10,159,0.4050000000000001
Peru,2020-12,128,0.3725
Peru,2021-02,111,0.43450000000000005
Peru,2021-03,563,0.55
Philippines,2020-06,115,0.065
Philippines,2020-09,158,0.389
Philippines,2020-12,174,0.384
Philippines,2021-03,693,0.31696969696969696
Poland,2020-06,5082,0.037000000000000005
Poland,2020-08,4500,0.004683644444444445
Poland,2020-09,90,0.0
Poland,2020-10,1167,0.095
Poland,2020-12,1040,0.226
Portugal,2020-06,26450,0.010188778827977316
Portugal,2020-07,8262,0.021805119825708062
Portugal,2020-09,26796,0.019723354231974924
Portugal,2020-11,6512,0.049
Portugal,2021-03,7132,0.14136890072910824
Portugal,2021-10,18180,0.8318022552255226
Portugal,2022-05,3825,0.95
Qatar,2020-07,230852,0.15837695146674058
Qatar,2020-08,5676,0.5248784355179703
Qatar,2020-10,1418,0.6415
Republic of Korea,2020-06,21747,0.005867655308778222
Republic of Korea,2020-11,8170,0.0016041860465116277
Republic of Korea,2021-02,39536,0.2929502225819507
Romania,2020-05,124,0.0014000000000000002
Romania,2020-08,2115,0.0107
Romania,2021-04,4886,0.4275505525992632
Russian Federation,2020-06,23947,0.14152307178352197
Russian Federation,2020-07,28483,0.10371583049538323
Russian Federation,2020-08,15051,0.4069522091555378
Russian Federation,2020-09,75158,0.18723039463530158
Russian Federation,2020-11,6379,0.1979361498667503
Russian Federation,2020-12,1000,0.15
Russian Federation,2021-03,7691,0.3571631777402158
Russian Federation,2021-04,1067,0.642
Russian Federation,2021-09,3419,0.28967856098274347
Saudi Arabia,2020-06,4375,0.10381312000000001
Saudi Arabia,2020-07,4185,0.19096869772998806
Saudi Arabia,2020-08,20210,0.21420737258782777
Saudi Arabia,2020-09,420,0.115
Saudi Arabia,2020-10,594,0.212
Saudi Arabia,2021-10,826,0.25627481840193705
Senegal,2020-07,303,0.16699999999999998
Senegal,2020-11,7158,0.2363366862252026
Serbia,2020-04,3749,0.01605009335822886
Serbia,2020-05,3170,0.023826593059936913
Serbia,2020-06,3010,0.040786810631229235
Serbia,2020-09,6246,0.12533029138648735
Sierra Leone,2021-03,7572,0.016538827258320128
Singapore,2020-05,478,0.579
Singapore,2020-11,937,8.000000000000002e-05
Slovenia,2020-04,2632,0.013150000000000002
Slovenia,2020-10,6055,0.023620000000000002
South Africa,2020-07,11353,0.38504553862415225
South Africa,2020-08,2410,0.19174273858921162
South Africa,2020-09,29313,0.2576885716235117
South Africa,2020-10,1664,0.259
South Africa,2020-12,23379,0.17568980709183457
South Africa,2021-01,7577,0.4370000000000001
South Africa,2021-02,1098,0.2450273224043716
South Africa,2021-03,51310,0.37869682323133896
South Africa,2021-04,1809,0.37875290215588725
South Africa,2021-05,2168,0.3324907749077491
South Africa,2021-07,1077,0.4241318477251625
South Africa,2021-09,1041,0.5973583093179635
South Africa,2021-10,3863,0.6631
South Africa,2021-11,46480,0.659239608433735
South Africa,2022-03,39557,0.8977438127259398
Spain,2020-03,10170,0.0018000000000000002
Spain,2020-04,2356,0.10591196943972836
Spain,2020-05,98876,0.07284857093733565
Spain,2020-06,70119,0.04974135683623555
Spain,2020-07,2555,0.03929839530332681
Spain,2020-08,40077,0.408772288344936
Spain,2020-10,507,0.133
Spain,2020-11,17481,0.044666666666666674
Spain,2021-02,528,0.04310227272727273
Spain,2021-03,2527,0.1463177681044717
Spain,2021-08,507,0.09134714003944772
Spain,2022-04,2793,0.9548897243107768
Sudan,2021-03,7124,0.38044525547445257
Sweden,2020-04,6683,0.06335089031871914
Sweden,2020-05,10875,0.02491393103448276
Sweden,2020-06,5013,0.03886854179134252
Sweden,2020-09,5100,0.151
Sweden,2020-10,4500,0.0567
Sweden,2020-11,7683,0.06359137055837563
Sweden,2021-01,136,0.25
Sweden,2021-03,9264,0.17457969559585493
Sweden,2021-05,37832,0.40404787481497145
Sweden,2021-09,6320,0.7513286075949368
Sweden,2021-11,2844,0.8148000000000001
Sweden,2022-09,3068,0.9272
Switzerland,2020-03,3806,0.001
Switzerland,2020-04,9674,0.028009716766590864
Switzerland,2020-05,17905,0.07943546495392349
Switzerland,2020-06,68971,0.04463390410462368
Switzerland,2020-07,1539,0.006680311890838207
Switzerland,2020-08,5934,0.0366845298281092
Switzerland,2020-09,3157,0.057389863794741855
Switzerland,2020-10,427,0.08124121779859486
Switzerland,2020-11,7835,0.044346394384173586
Switzerland,2020-12,12000,0.18703591666666666
Switzerland,2021-01,449,0.15
Switzerland,2021-02,559,0.179
Switzerland,2021-03,8474,0.17368574463063488
Switzerland,2021-05,722,0.192
Switzerland,2021-06,10065,0.27323318430203675
Switzerland,2021-07,1008,0.7154464285714286
Switzerland,2021-11,3750,0.44200000000000006
Switzerland,2021-12,985,0.16699999999999998
Switzerland,2022-03,2861,0.805792030758476
Switzerland,2022-05,15126,0.9268562739653577
Switzerland,2022-06,2553,0.9744853113983548
Thailand,2020-03,190,0.0013648
Thailand,2020-05,844,0.004
Thailand,2020-07,553,0.23789999999999997
Thailand,2020-09,1856,0.0144
Thailand,2020-11,4522,0.03514352056612118
Thailand,2020-12,1651,0.005
Thailand,2021-07,438,0.157
Thailand,2021-11,80143,0.010772243364985088
Togo,2020-04,955,0.004
Togo,2021-06,897,0.49070345596432546
Tunisia,2021-03,7132,0.2892209758833427
Turkey,2020-12,176,0.104
Uganda,2019-12,636,0.012
Uganda,2020-11,490,0.196
Uganda,2020-12,753,0.235
Uganda,2021-03,828,0.386
Uganda,2021-08,868,0.625
Uganda,2022-03,780,0.9340000000000002
United Arab Emirates,2020-08,13686,0.2801753616834722
United Kingdom of Great Britain and Northern Ireland,2019-10,608,0.006
United Kingdom of Great Britain and Northern Ireland,2019-11,1156,0.003472318339100346
United Kingdom of Great Britain and Northern Ireland,2019-12,1068,0.0020374531835205996
United Kingdom of Great Britain and Northern Ireland,2020-01,1039,0.004000000000000001
United Kingdom of Great Britain and Northern Ireland,2020-02,1199,0.005768140116763971
United Kingdom of Great Britain and Northern Ireland,2020-03,3534,0.015430956423316355
United Kingdom of Great Britain and Northern Ireland,2020-04,48573,0.052255347621106375
United Kingdom of Great Britain and Northern Ireland,2020-05,79176,0.06778207790239467
United Kingdom of Great Britain and Northern Ireland,2020-06,69488,0.06521857586921483
United Kingdom of Great Britain and Northern Ireland,2020-07,1851488,0.12068299999783957
United Kingdom of Great Britain and Northern Ireland,2020-08,1517738,0.04816397718183243
